"""MaStR-Nr. der Einheit""";Anzeige-Name der Einheit;Bruttoleistung der Einheit;Nettonennleistung der Einheit;Inbetriebnahmedatum der Einheit;Registrierungsdatum der Einheit;Bundesland;Postleitzahl;Ort;Anzahl der Solar-Module;Hauptausrichtung der Solar-Module;Inbetriebnahmedatum der EEG-Anlage;Coords;Wetter-ID
SEE974723096629;Photovoltaik;9,72;9,72;08.03.2016;10.07.2019;Hamburg;21149;Hamburg;36.0;SÃ¼d;08.03.2016;[53.467191, 9.8560631];4039
SEE981006651444;PV Ost West;5,44;3,68;09.07.2019;09.07.2019;Hamburg;22549;Hamburg;16.0;Ost;09.07.2019;[53.5846012, 9.8593302];4039
SEE925162272099;Photovoltaikanlage BÃ¼ro;10,13;10;17.12.2010;10.07.2019;Hamburg;22087;Hamburg;45.0;SÃ¼d;17.12.2010;[53.550341, 10.000654];4039
SEE945280819747;Germania;4,29;4,29;01.09.2011;21.05.2020;Hamburg;21147;Hamburg;26.0;SÃ¼d;01.09.2011;[53.4781843, 9.8768076];4039
SEE908801591157;PV-Hausdach-01;8,32;8,2;28.09.2016;11.07.2019;Hamburg;22765;Hamburg;32.0;SÃ¼d;28.09.2016;[53.550341, 10.000654];4039
SEE940134104369;Langenbek - Solarcarport - Fronius 5 KW;5,28;5;11.07.2019;11.07.2019;Hamburg;21079;Hamburg;32.0;SÃ¼d-Ost;11.07.2019;[53.550341, 10.000654];4039
SEE981529680273;Solaranlage B60;9,9;9,9;10.12.2019;10.12.2019;Hamburg;22297;Hamburg;34.0;SÃ¼d-Ost;10.12.2019;[53.550341, 10.000654];4039
SEE905079354361;Dach;2,88;2,88;21.12.2010;11.07.2019;Hamburg;22763;Hamburg;12.0;SÃ¼d;21.12.2010;[53.550341, 10.000654];4039
SEE903889957123;PF-Anlage;8,12;7;12.07.2019;12.07.2019;Hamburg;22589;Hamburg;28.0;Ost-West;26.06.2019;[53.5780697, 9.8129384];4039
SEE929110005135;Hausdach;4,81;4;17.07.2019;12.07.2019;Hamburg;22359;Hamburg;13.0;SÃ¼d-West;17.07.2019;[53.655975, 10.1629858];4039
SEE965469115217;Neu Graben;9,8;9,8;15.05.2017;12.07.2019;Hamburg;21149;Hamburg;35.0;SÃ¼d;15.05.2017;[53.467191, 9.8560631];4039
SEE984348848886;Hamburg;4;4;09.12.2010;14.07.2019;Hamburg;22397;Hamburg;21.0;SÃ¼d-West;09.12.2010;[53.6922599, 10.1080226];4039
SEE911124168449;Solaranlage Frank Putfarcken;5,44;4,6;12.07.2019;15.07.2019;Hamburg;21039;Hamburg;17.0;SÃ¼d;12.07.2019;[53.4513175, 10.2547253];1736
SEE946243290757;Dach;8,4;8;07.12.2015;15.07.2019;Hamburg;22045;Hamburg;28.0;SÃ¼d;07.12.2015;[53.5839495, 10.1308382];4039
SEE949658330841;PV-Anlage;6,16;6,16;15.07.2019;15.07.2019;Hamburg;21039;Hamburg;22.0;SÃ¼d;15.07.2019;[53.4513175, 10.2547253];1736
SEE913012277349;WockenfuÃ GbR;7,92;6,7;01.09.2004;16.07.2019;Hamburg;21149;Hamburg;44.0;SÃ¼d;01.09.2004;[53.467191, 9.8560631];4039
SEE918160267266;Solaranlage;1,02;1,02;01.12.2011;17.07.2019;Hamburg;22391;Hamburg;12.0;SÃ¼d;01.12.2011;[53.550341, 10.000654];4039
SEE983306705001;Weidenbaumsweg 95b;28,32;28,32;29.05.2019;18.07.2019;Hamburg;21035;Hamburg;96.0;SÃ¼d-Ost;29.05.2019;[53.482356, 10.1714862];4039
SEE993059045170;Weidenbaumsweg 95 a;28,32;28,32;29.05.2019;18.07.2019;Hamburg;21035;Hamburg;96.0;SÃ¼d-Ost;29.05.2019;[53.482356, 10.1714862];4039
SEE953161794922;Hausdach;2,345;2,345;06.08.2018;18.07.2019;Hamburg;22589;Hamburg;7.0;SÃ¼d;06.08.2018;[53.5780697, 9.8129384];4039
SEE906841933913;Photovoltaik Anlage 1;3,43;3,43;08.11.2011;18.07.2019;Hamburg;22547;Hamburg;14.0;SÃ¼d;08.11.2011;[53.5991257, 9.8775211];4039
SEE969456643257;IV-01328-A-19;7,04;6;24.06.2019;19.07.2019;Hamburg;22419;Hamburg;22.0;SÃ¼d-West;24.06.2019;[53.550341, 10.000654];4039
SEE906540830070;PV Anlage Hamburg Bargteheider StraÃe;28,8;28,8;08.07.2019;22.07.2019;Hamburg;22143;Hamburg;96.0;SÃ¼d;08.07.2019;[53.6065558, 10.1637302];4039
SEE953772773880;PV Springer Biobackwerk;99,82;90;20.07.2019;23.07.2019;Hamburg;22047;Hamburg;322.0;SÃ¼d;20.07.2019;[53.550341, 10.000654];4039
SEE989389201591;PV-Anlage;7,68;6,2;05.07.2019;23.07.2019;Hamburg;21037;Hamburg;24.0;SÃ¼d;05.07.2019;[53.4351527, 10.1484351];4039
SEE969827458367;PV ST-1;4,17;4;19.01.2013;29.02.2020;Hamburg;22527;Hamburg;17.0;SÃ¼d;19.01.2013;[53.550341, 10.000654];4039
SEE996117118717;erste;9,52;8,8;02.08.2019;15.02.2020;Hamburg;22459;Hamburg;34.0;SÃ¼d-West;02.08.2019;[53.550341, 10.000654];4039
SEE987344579082;Hausdach 1+2;6,6;6;24.04.2019;27.07.2019;Hamburg;22359;Hamburg;22.0;SÃ¼d-West;24.04.2019;[53.655975, 10.1629858];4039
SEE936333077481;Photovoltaikanlage Alsterdorf;5,74;5,06;26.11.2009;27.07.2019;Hamburg;22297;Hamburg;28.0;SÃ¼d;26.11.2009;[53.550341, 10.000654];4039
SEE920883299929;PV-Anlage AL;9,54;8,5;30.06.2016;28.07.2019;Hamburg;21033;Hamburg;36.0;SÃ¼d-West;30.06.2016;[53.5010368, 10.1796657];4039
SEE900419173558;PV-Anlage ProduktionsgebÃ¤ude I;24,8;24,8;02.07.2018;29.07.2019;Hamburg;21129;Hamburg;89.0;SÃ¼d;02.07.2018;[53.5259453, 9.8372267];4039
SEE960630170781;Hausdach;4,02;4;06.12.2017;30.07.2019;Hamburg;22337;Hamburg;12.0;SÃ¼d;06.12.2017;[53.550341, 10.000654];4039
SEE901790218289;Hausdach;5,94;4,6;23.07.2019;31.07.2019;Hamburg;22393;Hamburg;18.0;SÃ¼d-Ost;23.07.2019;[53.6477044, 10.1151804];4039
SEE902897199242;Hausdach und Garage;9,9;8;16.05.2019;04.08.2019;Hamburg;21129;Hamburg;33.0;SÃ¼d-Ost;16.05.2019;[53.5259453, 9.8372267];4039
SEE974379586260;Airbus Halle 249;120,08;106;29.03.2011;05.08.2019;Hamburg;21129;Hamburg;511.0;SÃ¼d;25.03.2011;[53.5259453, 9.8372267];4039
SEE943819804325;Eidelstedt Center EDEKA;140,53;136;27.06.2011;05.08.2019;Hamburg;22523;Hamburg;611.0;SÃ¼d-West;27.06.2011;[53.611792, 9.8940385];4039
SEE909150175678;Container Terminal Tollerort;125,12;122;27.06.2011;05.08.2019;Hamburg;21129;Hamburg;544.0;SÃ¼d-West;30.06.2011;[53.5259453, 9.8372267];4039
SEE907145377151;PV Anlage Platow;23,785;23,785;05.09.2019;17.01.2020;Hamburg;22297;Hamburg;71.0;SÃ¼d;05.09.2019;[53.550341, 10.000654];4039
SEE947004158637;FC St. Pauli Millerntor Station;70,56;68;17.12.2010;05.08.2019;Hamburg;20359;Hamburg;336.0;SÃ¼d;17.12.2010;[53.550341, 10.000654];4039
SEE991529216587;Georgswerder 2;404,8;353;30.12.2011;05.08.2019;Hamburg;21109;Hamburg;1760.0;SÃ¼d;30.12.2011;[53.550341, 10.000654];4039
SEE947809021495;Gewerbeschule G17;97,125;85;20.07.2011;05.08.2019;Hamburg;21109;Hamburg;525.0;SÃ¼d;20.07.2011;[53.550341, 10.000654];4039
SEE959334227457;Gussauaddo;5,12;4,6;05.08.2019;13.01.2020;Hamburg;22359;Hamburg;16.0;SÃ¼d;05.08.2019;[53.655975, 10.1629858];4039
SEE936750622936;Fukushima;1,9;1,65;22.12.2011;05.08.2019;Hamburg;22159;Hamburg;9.0;SÃ¼d-West;22.12.2011;[53.615857, 10.1196276];4039
SEE918774832386;Hamburg Airport;38,7;36;17.06.2011;06.08.2019;Hamburg;22335;Hamburg;172.0;SÃ¼d-West;17.06.2011;[53.550341, 10.000654];4039
SEE977040339554;Logistikzentrum Altenwerder (LZA);509,34;478;30.06.2011;06.08.2019;Hamburg;21129;Hamburg;3918.0;SÃ¼d-Ost;30.06.2011;[53.5259453, 9.8372267];4039
SEE976256899784;Rohrnetzbezirk Mitte/SÃ¼d;202,08;191;30.06.2011;06.08.2019;Hamburg;20539;Hamburg;2526.0;SÃ¼d-West;30.06.2011;[53.550341, 10.000654];4039
SEE946385110333;SAGA Weimarer Str.;14,49;14;27.08.2010;06.08.2019;Hamburg;21107;Hamburg;61.0;SÃ¼d-West;27.08.2010;[53.550341, 10.000654];4039
SEE900555358376;UniversitÃ¤tsklinikum HH-Eppendorf;85,84;80;31.12.2010;06.08.2019;Hamburg;20251;Hamburg;464.0;SÃ¼d-Ost;31.12.2010;[53.550341, 10.000654];4039
SEE984603852474;ABBA-PV;46,32;45;22.05.2012;06.08.2019;Hamburg;21129;Hamburg;193.0;Ost-West;22.05.2012;[53.5259453, 9.8372267];4039
SEE968144803676;Hausdach Privat;2,07;1,8;25.10.2011;09.08.2019;Hamburg;22147;Hamburg;6.0;SÃ¼d;25.10.2011;[53.6118613, 10.1375976];4039
SEE955690834667;IV-00064-E-17;4,995;4,6;13.10.2017;09.08.2019;Hamburg;22145;Hamburg;15.0;SÃ¼d;13.10.2017;[53.6281342, 10.16261];4039
SEE924315676975;offene Halle 2009;52,5;52,5;18.12.2009;09.08.2019;Hamburg;22589;Hamburg;250.0;SÃ¼d;18.12.2009;[53.5780697, 9.8129384];4039
SEE978178388025;Photovoltaikanlage Hamburg-Harburg;244;189;30.04.2010;09.08.2019;Hamburg;21079;Hamburg;1908.0;SÃ¼d;30.04.2010;[53.550341, 10.000654];4039
SEE957910297702;Paddockstall 2011;24,675;22,45;09.12.2011;09.08.2019;Hamburg;22589;Hamburg;105.0;SÃ¼d;09.12.2011;[53.5780697, 9.8129384];4039
SEE901512097727;PV-Anlage Dach HH;6,72;4,34;12.08.2019;12.08.2019;Hamburg;22339;Hamburg;21.0;Ost;12.08.2019;[53.550341, 10.000654];4039
SEE934904546787;Fotovoltaik Dach;6,34;6;20.03.2013;11.08.2019;Hamburg;22337;Hamburg;25.0;SÃ¼d;20.03.2013;[53.550341, 10.000654];4039
SEE927355722756;Hausdach;3,96;3,96;02.08.2019;11.08.2019;Hamburg;22529;Hamburg;12.0;Ost-West;02.08.2019;[53.550341, 10.000654];4039
SEE944156711802;PV;7,65;7,65;24.05.2013;11.08.2019;Hamburg;22393;Hamburg;30.0;SÃ¼d;24.05.2013;[53.6477044, 10.1151804];4039
SEE962636400978;Drachenbau;2,1;2;21.04.1998;13.08.2019;Hamburg;20099;Hamburg;28.0;SÃ¼d-West;21.04.1998;[53.550341, 10.000654];4039
SEE933166433064;IV-00578-E-18;9,405;8,5;08.11.2018;13.08.2019;Hamburg;22547;Hamburg;33.0;SÃ¼d;08.11.2018;[53.5991257, 9.8775211];4039
SEE960306305721;Hamburg;3,4;3;31.01.2014;13.08.2019;Hamburg;22525;Hamburg;12.0;SÃ¼d;31.01.2014;[53.550341, 10.000654];4039
SEE986411157093;Hausdach;6;5;19.06.2019;13.08.2019;Hamburg;21109;Hamburg;20.0;SÃ¼d;19.06.2019;[53.550341, 10.000654];4039
SEE997234672809;PoppenbÃ¼tteler Berg Hs.-Nr. 12;10,98;10;05.12.2018;14.08.2019;Hamburg;22399;Hamburg;36.0;Nord-Ost;05.12.2018;[53.6638384, 10.0722229];4039
SEE922894367970;Solaranlage Hamburg;4,23;4;15.12.2010;14.08.2019;Hamburg;22457;Hamburg;18.0;SÃ¼d;15.12.2010;[53.6375593, 9.9110214];4039
SEE996082704847;Wittenkamp 2;12,2;10;22.07.2019;20.08.2019;Hamburg;22307;Hamburg;40.0;Ost-West;22.07.2019;[53.550341, 10.000654];4039
