KREIS;GEMEINDE;TYP;Modell;HERSTELLER;NABENHOEHE;ROTORDURCHMESSER;SCHALLLEISTUNGSPEGEL;LEISTUNG;LEISTUNGSBEZUG;OSTWERT (EPSG:4647);NORDWERT (EPSG:4647);GENEHMIGT_AM;INBETRIEBNAHME;STATUS;BST_NR;ANL_NR;DATENDATUM;DATENQUELLE;Coords;Wetter-ID
Hzgt.Lauenburg;Woltersdorf;AN BONUS 1,3 MW/62 - CombiStall;AN Bonus 1,3/62;AN BONUS;68.0;62.0;104.1;1300;kW Nennleist. Rotor.;32609336;5938648;27.09.2001 00:00;25.06.2002 00:00;in Betrieb;53134493460;3;13.07.2021;LLUR SH, Abtl. 7;[53.5776994, 10.6387716];3086
Hzgt.Lauenburg;Woltersdorf;AN BONUS 1,3 MW/62 CombiStall;AN Bonus 1,3/62;AN BONUS;68.0;62.0;104.1;1300;kW Nennleist. Rotor.;32609590;5938609;27.09.2001 00:00;25.06.2002 00:00;in Betrieb;53134493460;4;13.07.2021;LLUR SH, Abtl. 7;[53.5776994, 10.6387716];3086
Ostholstein;Gremersdorf;AN BONUS 1,3 MW/62, S-Nr.AN 1300-375-04;AN Bonus 1,3/62;AN BONUS;68.0;62.0;104,4 dB(A);1300;kW Nennleist. Rotor.;32627963;6021337;30.04.2001 00:00;27.06.2001 00:00;in Betrieb;55015462027;2;13.07.2021;LLUR SH, Abtl. 7;[54.3325847, 10.932245];5877
Ostholstein;Gremersdorf;AN BONUS 1,3 MW/62, S-Nr.AN 1300-376-03;AN Bonus 1,3/62;AN BONUS;68.0;62.0;104,4 dB(A);1300;kW Nennleist. Rotor.;32627956;6021879;30.04.2001 00:00;27.06.2001 00:00;in Betrieb;55015462027;1;13.07.2021;LLUR SH, Abtl. 7;[54.3325847, 10.932245];5877
Stormarn;Steinburg;AN BONUS 1,3 MW/62-Combistall;AN Bonus 1,3/62;AN BONUS;68.0;62.0;104.1;1300;kW Nennleist. Rotor.;32594204;5952784;06.06.2003 00:00;01.01.2004 00:00;in Betrieb;62091149243;1;13.07.2021;LLUR SH, Abtl. 7;[53.7052907, 10.4078945];3086
Stormarn;Steinburg;AN BONUS 1,3 MW/62-Combistall;AN Bonus 1,3/62;AN BONUS;68.0;62.0;104.1;1300;kW Nennleist. Rotor.;32594429;5952880;06.06.2003 00:00;01.01.2004 00:00;in Betrieb;62091149243;2;13.07.2021;LLUR SH, Abtl. 7;[53.7052907, 10.4078945];3086
Stormarn;Steinburg;AN BONUS 1,3 MW/62-Combistall;AN Bonus 1,3/62;AN BONUS;68.0;62.0;104.1;1300;kW Nennleist. Rotor.;32594732;5952789;06.06.2003 00:00;01.01.2004 00:00;in Betrieb;62091149243;3;13.07.2021;LLUR SH, Abtl. 7;[53.7052907, 10.4078945];3086
Stormarn;Steinburg;AN BONUS 1,3 MW/62-Combistall;AN Bonus 1,3/62;AN BONUS;68.0;62.0;104.1;1300;kW Nennleist. Rotor.;32594782;5952535;06.06.2003 00:00;01.01.2004 00:00;in Betrieb;62091149243;4;13.07.2021;LLUR SH, Abtl. 7;[53.7052907, 10.4078945];3086
Hzgt.Lauenburg;LÃÂ¼tau;AN Bonus 1,3/62;AN Bonus 1,3/62;AN BONUS;68.0;62.0;104.1;1300;kW Nennleist. Rotor.;32603695;5920811;01.10.2001 00:00;03.04.2002 00:00;in Betrieb;53087493352;1;13.07.2021;LLUR SH, Abtl. 7;[53.4346667, 10.5482762];3086
Hzgt.Lauenburg;LÃÂ¼tau;AN Bonus 1,3/62;AN Bonus 1,3/62;AN BONUS;68.0;62.0;104.1;1300;kW Nennleist. Rotor.;32603487;5920570;01.10.2001 00:00;03.04.2002 00:00;in Betrieb;53087493352;2;13.07.2021;LLUR SH, Abtl. 7;[53.4346667, 10.5482762];3086
Hzgt.Lauenburg;LÃÂ¼tau;AN Bonus 1,3/62;AN Bonus 1,3/62;AN BONUS;68.0;62.0;104.1;1300;kW Nennleist. Rotor.;32603751;5920417;01.10.2001 00:00;03.04.2002 00:00;in Betrieb;53087493352;3;13.07.2021;LLUR SH, Abtl. 7;[53.4346667, 10.5482762];3086
