STATIONS_ID;MESS_DATUM;QN_592;ATMO_LBERG;FD_LBERG;FG_LBERG;SD_LBERG;ZENIT;MESS_DATUM_WOZ;eor
       1975;2020030110:32;    1;  116.0;   59.0;   62.0;   8;    63.86;2020030111:00;eor
       1975;2020030111:32;    1;  118.0;   68.0;   70.0;   2;    61.28;2020030112:00;eor
       1975;2020030112:32;    1;  116.0;   61.0;   64.0;   3;    61.26;2020030113:00;eor
       1975;2020030113:32;    1;  110.0;   72.0;  125.0;  30;    63.81;2020030114:00;eor
       1975;2020030114:32;    1;  108.0;   33.0;   68.0;  24;    68.61;2020030115:00;eor
       1975;2020030115:32;    1;   95.0;   29.0;   70.0;  50;    75.14;2020030116:00;eor
       1975;2020030116:32;    1;  106.0;   17.0;   22.0;  15;    82.90;2020030117:00;eor
       1975;2020030117:32;    1;  100.0;    2.0;    2.0;   5;    91.40;2020030118:00;eor
       1975;2020030118:32;    1;   98.0;    0.0;    0.0;   0;   100.24;2020030119:00;eor
       1975;2020030119:32;    1;   98.0;    0.0;    0.0;   0;   109.02;2020030120:00;eor
       1975;2020030120:32;    1;   96.0;    0.0;    0.0;   0;   117.30;2020030121:00;eor
       1975;2020030121:32;    1;  107.0;    0.0;    0.0;   0;   124.55;2020030122:00;eor
       1975;2020030122:32;    1;  110.0;    0.0;    0.0;   0;   130.06;2020030123:00;eor
       1975;2020030123:32;    1;  109.0;    0.0;    0.0;   0;   133.09;2020030200:00;eor
       1975;2020030200:32;    1;  113.0;    0.0;    0.0;   0;   133.08;2020030201:00;eor
       1975;2020030201:32;    1;  112.0;    0.0;    0.0;   0;   130.02;2020030202:00;eor
       1975;2020030202:32;    1;  115.0;    0.0;    0.0;   0;   124.47;2020030203:00;eor
       1975;2020030203:32;    1;  112.0;    0.0;    0.0;   0;   117.21;2020030204:00;eor
       1975;2020030204:32;    1;  108.0;    0.0;    0.0;   0;   108.90;2020030205:00;eor
       1975;2020030205:32;    1;  101.0;    0.0;    0.0;   0;   100.10;2020030206:00;eor
       1975;2020030206:32;    1;   90.0;    1.0;    2.0;   0;    91.23;2020030207:00;eor
       1975;2020030207:32;    1;   90.0;   14.0;   30.0;  32;    82.69;2020030208:00;eor
       1975;2020030208:32;    1;   92.0;   32.0;   80.0;  60;    74.90;2020030209:00;eor
       1975;2020030209:32;    1;  104.0;   66.0;   76.0;  28;    68.33;2020030210:00;eor
       1975;2020030210:32;    1;  113.0;   66.0;   66.0;   0;    63.49;2020030211:00;eor
       1975;2020030211:32;    1;  109.0;   91.0;  106.0;   9;    60.90;2020030212:00;eor
       1975;2020030212:32;    1;  102.0;   74.0;  153.0;  42;    60.88;2020030213:00;eor
       1975;2020030213:32;    1;  103.0;   67.0;  172.0;  59;    63.44;2020030214:00;eor
       1975;2020030214:32;    1;  109.0;   65.0;  139.0;  56;    68.25;2020030215:00;eor
       1975;2020030215:32;    1;  103.0;   44.0;   78.0;  60;    74.81;2020030216:00;eor
       1975;2020030216:32;    1;   -999;   16.0;   23.0;  32;    82.58;2020030217:00;eor
       1975;2020030217:32;    1;  107.0;    2.0;    2.0;   0;    91.09;2020030218:00;eor
       1975;2020030218:32;    1;  115.0;    0.0;    0.0;   0;    99.93;2020030219:00;eor
       1975;2020030219:32;    1;  114.0;    0.0;    0.0;   0;   108.71;2020030220:00;eor
       1975;2020030220:32;    1;  114.0;    0.0;    0.0;   0;   116.98;2020030221:00;eor
       1975;2020030221:32;    1;  113.0;    0.0;    0.0;   0;   124.20;2020030222:00;eor
       1975;2020030222:31;    1;  108.0;    0.0;    0.0;   0;   129.70;2020030223:00;eor
       1975;2020030223:31;    1;  107.0;    0.0;    0.0;   0;   132.71;2020030300:00;eor
       1975;2020030300:31;    1;  113.0;    0.0;    0.0;   0;   132.70;2020030301:00;eor
       1975;2020030301:31;    1;  117.0;    0.0;    0.0;   0;   129.65;2020030302:00;eor
       1975;2020030302:31;    1;  118.0;    0.0;    0.0;   0;   124.13;2020030303:00;eor
       1975;2020030303:31;    1;  120.0;    0.0;    0.0;   0;   116.88;2020030304:00;eor
       1975;2020030304:31;    1;  122.0;    0.0;    0.0;   0;   108.59;2020030305:00;eor
       1975;2020030305:31;    1;  122.0;    0.0;    0.0;   0;    99.79;2020030306:00;eor
       1975;2020030306:31;    1;  122.0;    1.0;    1.0;   0;    90.92;2020030307:00;eor
       1975;2020030307:31;    1;  121.0;    9.0;    9.0;   0;    82.38;2020030308:00;eor
       1975;2020030308:31;    1;  121.0;   12.0;   12.0;   0;    74.57;2020030309:00;eor
       1975;2020030309:31;    1;  121.0;   28.0;   28.0;   0;    67.97;2020030310:00;eor
       1975;2020030310:31;    1;  119.0;   63.0;   64.0;   0;    63.12;2020030311:00;eor
       1975;2020030311:31;    1;  114.0;   83.0;   84.0;   0;    60.51;2020030312:00;eor
       1975;2020030312:31;    1;  107.0;   94.0;  117.0;  27;    60.50;2020030313:00;eor
       1975;2020030313:31;    1;  105.0;   80.0;  109.0;  31;    63.07;2020030314:00;eor
       1975;2020030314:31;    1;  114.0;   52.0;   60.0;   2;    67.90;2020030315:00;eor
       1975;2020030315:31;    1;  101.0;   43.0;   69.0;  37;    74.47;2020030316:00;eor
       1975;2020030316:31;    1;   92.0;   15.0;   36.0;  54;    82.26;2020030317:00;eor
       1975;2020030317:31;    1;   91.0;    2.0;    2.0;  12;    90.78;2020030318:00;eor
       1975;2020030318:31;    1;   91.0;    0.0;    0.0;   0;    99.62;2020030319:00;eor
       1975;2020030319:31;    1;   90.0;    0.0;    0.0;   0;   108.39;2020030320:00;eor
       1975;2020030320:31;    1;   90.0;    0.0;    0.0;   0;   116.65;2020030321:00;eor
       1975;2020030321:31;    1;   89.0;    0.0;    0.0;   0;   123.86;2020030322:00;eor
       1975;2020030322:31;    1;   89.0;    0.0;    0.0;   0;   129.33;2020030323:00;eor
       1975;2020030323:31;    1;   87.0;    0.0;    0.0;   0;   132.33;2020030400:00;eor
       1975;2020030400:31;    1;   89.0;    0.0;    0.0;   0;   132.31;2020030401:00;eor
       1975;2020030401:31;    1;   89.0;    0.0;    0.0;   0;   129.28;2020030402:00;eor
       1975;2020030402:31;    1;   96.0;    0.0;    0.0;   0;   123.78;2020030403:00;eor
       1975;2020030403:31;    1;  101.0;    0.0;    0.0;   0;   116.55;2020030404:00;eor
       1975;2020030404:31;    1;   94.0;    0.0;    0.0;   0;   108.27;2020030405:00;eor
       1975;2020030405:31;    1;  104.0;    0.0;    0.0;   0;    99.48;2020030406:00;eor
       1975;2020030406:31;    1;  112.0;    2.0;    2.0;   0;    90.61;2020030407:00;eor
       1975;2020030407:31;    1;  113.0;   13.0;   13.0;   0;    82.05;2020030408:00;eor
       1975;2020030408:31;    1;  104.0;   40.0;   55.0;   8;    74.23;2020030409:00;eor
       1975;2020030409:31;    1;   96.0;   53.0;  119.0;  52;    67.62;2020030410:00;eor
       1975;2020030410:31;    1;  110.0;   78.0;   96.0;  21;    62.74;2020030411:00;eor
       1975;2020030411:31;    1;  117.0;   78.0;   80.0;   4;    60.13;2020030412:00;eor
       1975;2020030412:31;    1;  114.0;   88.0;  102.0;  13;    60.11;2020030413:00;eor
       1975;2020030413:31;    1;  118.0;   48.0;   48.0;   0;    62.70;2020030414:00;eor
       1975;2020030414:31;    1;  119.0;   31.0;   31.0;   0;    67.54;2020030415:00;eor
       1975;2020030415:31;    1;  117.0;   43.0;   44.0;   0;    74.14;2020030416:00;eor
       1975;2020030416:31;    1;  108.0;   16.0;   16.0;   0;    81.93;2020030417:00;eor
       1975;2020030417:31;    1;  119.0;    1.0;    1.0;   0;    90.47;2020030418:00;eor
       1975;2020030418:31;    1;  116.0;    0.0;    0.0;   0;    99.31;2020030419:00;eor
       1975;2020030419:31;    1;  100.0;    0.0;    0.0;   0;   108.08;2020030420:00;eor
       1975;2020030420:31;    1;  103.0;    0.0;    0.0;   0;   116.32;2020030421:00;eor
       1975;2020030421:31;    1;  112.0;    0.0;    0.0;   0;   123.51;2020030422:00;eor
       1975;2020030422:31;    1;  112.0;    0.0;    0.0;   0;   128.96;2020030423:00;eor
       1975;2020030423:31;    1;  104.0;    0.0;    0.0;   0;   131.95;2020030500:00;eor
       1975;2020030500:31;    1;  100.0;    0.0;    0.0;   0;   131.93;2020030501:00;eor
       1975;2020030501:31;    1;   94.0;    0.0;    0.0;   0;   128.92;2020030502:00;eor
       1975;2020030502:31;    1;  105.0;    0.0;    0.0;   0;   123.43;2020030503:00;eor
       1975;2020030503:31;    1;   90.0;    0.0;    0.0;   0;   116.22;2020030504:00;eor
       1975;2020030504:31;    1;   91.0;    0.0;    0.0;   0;   107.96;2020030505:00;eor
       1975;2020030505:31;    1;   91.0;    0.0;    0.0;   0;    99.17;2020030506:00;eor
       1975;2020030506:31;    1;   94.0;    4.0;    4.0;   0;    90.30;2020030507:00;eor
       1975;2020030507:31;    1;  103.0;   26.0;   29.0;  17;    81.73;2020030508:00;eor
       1975;2020030508:31;    1;  114.0;   30.0;   31.0;   0;    73.90;2020030509:00;eor
       1975;2020030509:31;    1;  102.0;   84.0;  143.0;  46;    67.26;2020030510:00;eor
       1975;2020030510:31;    1;   96.0;   63.0;  165.0;  60;    62.37;2020030511:00;eor
       1975;2020030511:31;    1;   95.0;   44.0;  181.0;  60;    59.75;2020030512:00;eor
       1975;2020030512:31;    1;   -999;   57.0;  189.0;  58;    59.73;2020030513:00;eor
       1975;2020030513:31;    1;  104.0;   53.0;   71.0;  19;    62.32;2020030514:00;eor
       1975;2020030514:31;    1;  111.0;   54.0;   65.0;  12;    67.19;2020030515:00;eor
       1975;2020030515:31;    1;  119.0;   19.0;   19.0;   0;    73.80;2020030516:00;eor
       1975;2020030516:31;    1;  118.0;   10.0;   10.0;   0;    81.61;2020030517:00;eor
       1975;2020030517:31;    1;  118.0;    1.0;    1.0;   0;    90.15;2020030518:00;eor
       1975;2020030518:31;    1;  118.0;    0.0;    0.0;   0;    99.00;2020030519:00;eor
       1975;2020030519:31;    1;  117.0;    0.0;    0.0;   0;   107.76;2020030520:00;eor
       1975;2020030520:31;    1;  116.0;    0.0;    0.0;   0;   115.99;2020030521:00;eor
       1975;2020030521:31;    1;  115.0;    0.0;    0.0;   0;   123.16;2020030522:00;eor
       1975;2020030522:31;    1;  115.0;    0.0;    0.0;   0;   128.59;2020030523:00;eor
       1975;2020030523:31;    1;  115.0;    0.0;    0.0;   0;   131.56;2020030600:00;eor
       1975;2020030600:31;    1;  117.0;    0.0;    0.0;   0;   131.55;2020030601:00;eor
       1975;2020030601:31;    1;  118.0;    0.0;    0.0;   0;   128.55;2020030602:00;eor
       1975;2020030602:31;    1;  117.0;    0.0;    0.0;   0;   123.08;2020030603:00;eor
       1975;2020030603:31;    1;  117.0;    0.0;    0.0;   0;   115.89;2020030604:00;eor
       1975;2020030604:31;    1;  118.0;    0.0;    0.0;   0;   107.64;2020030605:00;eor
       1975;2020030605:31;    1;  119.0;    0.0;    0.0;   0;    98.86;2020030606:00;eor
       1975;2020030606:31;    1;  118.0;    2.0;    2.0;   0;    89.98;2020030607:00;eor
       1975;2020030607:31;    1;  118.0;   11.0;   11.0;   0;    81.41;2020030608:00;eor
       1975;2020030608:31;    1;  118.0;   16.0;   16.0;   0;    73.56;2020030609:00;eor
       1975;2020030609:31;    1;  118.0;   22.0;   22.0;   0;    66.90;2020030610:00;eor
       1975;2020030610:31;    1;  119.0;   30.0;   30.0;   0;    62.00;2020030611:00;eor
       1975;2020030611:31;    1;  120.0;   40.0;   40.0;   0;    59.36;2020030612:00;eor
       1975;2020030612:31;    1;  119.0;   21.0;   21.0;   0;    59.34;2020030613:00;eor
       1975;2020030613:31;    1;  119.0;   13.0;   13.0;   0;    61.95;2020030614:00;eor
       1975;2020030614:31;    1;  119.0;   10.0;   11.0;   0;    66.83;2020030615:00;eor
       1975;2020030615:31;    1;  120.0;    7.0;    7.0;   0;    73.46;2020030616:00;eor
       1975;2020030616:31;    1;  120.0;    3.0;    3.0;   0;    81.29;2020030617:00;eor
       1975;2020030617:31;    1;  120.0;    1.0;    1.0;   0;    89.84;2020030618:00;eor
       1975;2020030618:31;    1;  120.0;    0.0;    0.0;   0;    98.69;2020030619:00;eor
       1975;2020030619:31;    1;  120.0;    0.0;    0.0;   0;   107.45;2020030620:00;eor
       1975;2020030620:31;    1;  119.0;    0.0;    0.0;   0;   115.66;2020030621:00;eor
       1975;2020030621:31;    1;  118.0;    0.0;    0.0;   0;   122.81;2020030622:00;eor
       1975;2020030622:31;    1;  119.0;    0.0;    0.0;   0;   128.22;2020030623:00;eor
       1975;2020030623:31;    1;  118.0;    0.0;    0.0;   0;   131.18;2020030700:00;eor
       1975;2020030700:31;    1;  118.0;    0.0;    0.0;   0;   131.16;2020030701:00;eor
       1975;2020030701:31;    1;   98.0;    0.0;    0.0;   0;   128.17;2020030702:00;eor
       1975;2020030702:31;    1;   92.0;    0.0;    0.0;   0;   122.73;2020030703:00;eor
       1975;2020030703:31;    1;   90.0;    0.0;    0.0;   0;   115.56;2020030704:00;eor
       1975;2020030704:31;    1;  109.0;    0.0;    0.0;   0;   107.32;2020030705:00;eor
       1975;2020030705:31;    1;  116.0;    0.0;    0.0;   0;    98.55;2020030706:00;eor
       1975;2020030706:31;    1;  117.0;    2.0;    2.0;   0;    89.67;2020030707:00;eor
       1975;2020030707:30;    1;  118.0;   11.0;   11.0;   0;    81.09;2020030708:00;eor
       1975;2020030708:30;    1;  117.0;   33.0;   33.0;   0;    73.22;2020030709:00;eor
       1975;2020030709:30;    1;  117.0;   52.0;   52.0;   0;    66.55;2020030710:00;eor
       1975;2020030710:30;    1;  115.0;   66.0;   76.0;   2;    61.62;2020030711:00;eor
