ID;KreisPot;KreisVor;StadtPot;StadtVor;haPot;haVor;WKAPot;WKAVor
PR2_RDE_129;Rendsburg-Eckernförde;-;Nindorf, Oldenhütten;-;57,1;-;-;-
PR2_RDE_130;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Krogaspe, Loop;Krogaspe, Loop;102,7;57,7;-;-
PR2_RDE_132;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Aukrug, Gnutz;Gnutz;197,2;74,9;-;-
PR2_RDE_133;Rendsburg-Eckernförde;-;Krogaspe, Timmaspe;-;22,3;-;-;-
PR2_RDE_134;Rendsburg-Eckernförde;-;Heinkenborstel;-;34,6;-;-;-
PR2_RDE_135;Rendsburg-Eckernförde;-;Nindorf, Remmels;-;87,3;-;-;-
PR2_RDE_136;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Nienborstel, Remmels;Remmels;82,0;31,0;-;-
PR2_RDE_137;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Gnutz, Timmaspe;Gnutz, Timmaspe;436,3;180,5;-;-
PR2_RDE_138;Rendsburg-Eckernförde;-;Nindorf;-;33,1;-;-;-
PR2_RDE_139;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Beringstedt, Gokels, Lütjenwestedt, Seefeld,Todenbüttel;Gokels, Lütjenwestedt, Seefeld;286,6;103,8;-;-
PR2_RDE_140;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Nienborstel, Osterstedt;Nienborstel, Osterstedt;54,7;45,1;-;WKA in Betrieb
PR2_RDE_141;Rendsburg-Eckernförde;-;Timmaspe;-;32,6;-;-;-
PR2_RDE_142;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Beldorf, Bornholt, Steenfeld;Beldorf, Bornholt, Steenfeld;141,5;118,7;WKA in Betrieb;WKA in Betrieb
PR2_RDE_144;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Bendorf, Thaden;Bendorf, Thaden;273,4;238,3;WKA in Betrieb;WKA in Betrieb
PR2_RDE_145;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Aukrug, Gnutz;Aukrug;108,4;73,7;-;-
PR2_RDE_147;Rendsburg-Eckernförde;-;Hohenwestedt, Wapelfeld;-;115,6;-;-;-
PR2_RDE_148;Rendsburg-Eckernförde;-;Wasbek;-;17,2;-;-;-
PR2_RDE_150;Rendsburg-Eckernförde;-;Osterstedt, Puls, Reher;-;61,8;-;-;-
PR2_RDE_155;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Aukrug, Wasbek;Aukrug, Wasbek;61,6;55,4;-;-
PR2_RDE_156;Rendsburg-Eckernförde;-;Hohenwestedt, Tappendorf;-;59,6;-;-;-
PR2_RDE_157;Rendsburg-Eckernförde;-;Bendorf, Thaden;-;91,1;-;-;-
PR2_RDE_158;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Bendorf, Bornholt;Bendorf, Bornholt;25,0;18,1;-;-
PR2_RDE_159;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Hohenwestedt, Jahrsdorf, Wapelfeld;Hohenwestedt, Jahrsdorf, Wapelfeld;157,0;25,5;-;-
PR2_RDE_161;Rendsburg-Eckernförde;-;Bendorf;-;57,2;-;-;-
PR2_RDE_162;Rendsburg-Eckernförde;-;Aukrug, Grauel, Meezen;-;152,7;-;-;-
PR2_RDE_164;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Arpsdorf, Padenstedt;Padenstedt;61,2;20,9;-;-
PR2_RDE_301;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Gammelby, Rieseby;Gammelby, Rieseby;65,5;42,2;-;-
PR2_RDE_303;Rendsburg-Eckernförde;-;Osterby, Windeby;-;97,3;-;-;-
PR2_RDE_304;Rendsburg-Eckernförde;-;Altenholz, Felm;-;45,8;-;-;-
PR2_RDE_306;Rendsburg-Eckernförde;-;Rodenbek;-;45,8;-;-;-
PR2_RDE_307;Rendsburg-Eckernförde;-;Rodenbek, Rumohr, Schierensee;-;15,1;-;-;-
PR2_RDE_308;Rendsburg-Eckernförde;-;Bissee, Brügge;-;27,6;-;-;-
PR2_RDE_309;Rendsburg-Eckernförde;-;Jevenstedt, Osterrönfeld;-;65,1;-;-;-
PR2_RDE_310;Rendsburg-Eckernförde;-;Jevenstedt;-;47,0;-;-;-
PR2_RDE_311;Rendsburg-Eckernförde;-;Krogaspe, Wasbek;-;45,0;-;-;-
PR2_RDE_312;Rendsburg-Eckernförde;-;Timmaspe, Wasbek;-;15,1;-;-;-
PR2_RDE_313;Rendsburg-Eckernförde;-;Wasbek;-;125,2;-;-;-
PR2_RDE_314;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Aukrug, Ehndorf, Wasbek;Aukrug, Ehndorf, Wasbek;226,6;179,3;-;-
PR2_RDE_315;Rendsburg-Eckernförde;-;Ehndorf;-;36,0;-;-;-
PR2_RDE_316;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Arpsdorf, Padenstedt;Arpsdorf, Padenstedt;115,7;85,2;-;-
PR2_RDE_317;Rendsburg-Eckernförde;Rendsburg-Eckernförde;Padenstedt;Padenstedt;74,2;34,5;-;-
PR2_RDE_401;Rendsburg-Eckernförde;-;Kosel;-;47,1;-;-;-
PR2_RDE_402;Rendsburg-Eckernförde;-;Gammelby, Kosel, Rieseby;-;37,9;-;-;-
PR2_RDE_403;Rendsburg-Eckernförde;-;Güby, Hummelfeld;-;19,4;-;-;-
PR2_RDE_404;Rendsburg-Eckernförde;-;Sehestedt;-;47,7;-;-;-
PR2_RDE_405;Rendsburg-Eckernförde;-;Hohn, Lohe-Föhrden;-;44,1;-;-;-
PR2_RDE_407;Rendsburg-Eckernförde;-;Emkendorf;-;18,1;-;-;-
PR2_RDE_408;Rendsburg-Eckernförde;-;Bokel, Emkendorf;-;22,7;-;-;-
PR2_RDE_409;Rendsburg-Eckernförde;-;Böhnhusen, Reesdorf, Techelsdorf;-;21,0;-;-;-
PR2_RDE_410;Rendsburg-Eckernförde;-;Hohenwestedt, Tappendorf;-;23,1;-;-;-
PR2_RDE_411;Rendsburg-Eckernförde;-;Aasbüttel, Bendorf, Bokhorst;-;21,9;-;-;-
PR2_RDE_412;Rendsburg-Eckernförde;-;Negenharrie;-;26,3;-;-;-
PR2_RDE_420;Rendsburg-Eckernförde;-;Beldorf, Bornholt;-;17,8;-;-;-
PR2_RDE_501;Rendsburg-Eckernförde;-;Brekendorf, Owschlag;-;52,9;-;-;-
PR2_RDE_502;Rendsburg-Eckernförde;-;Holzdorf, Rieseby;-;29,3;-;-;-
PR2_RDE_503;Rendsburg-Eckernförde;-;Schwedeneck, Strande;-;103,9;-;-;-
PR2_RDE_504;Rendsburg-Eckernförde;-;Langwedel;-;27,5;-;-;-
PR2_RDE_505;Rendsburg-Eckernförde;-;Eisendorf, Ellerdorf;-;25,4;-;-;-
PR2_RDE_506;Rendsburg-Eckernförde;-;Holzdorf, Rieseby;-;30,3;-;-;-
