STATIONS_ID;MESS_DATUM;QN_8;FX_911;eor
       4919;2020051600;    3;  13.6;eor
       4919;2020051601;    3;  13.3;eor
       4919;2020051602;    3;  13.3;eor
       4919;2020051603;    3;  13.0;eor
       4919;2020051604;    3;  12.7;eor
       4919;2020051605;    3;  13.3;eor
       4919;2020051606;    3;  14.6;eor
       4919;2020051607;    3;  14.8;eor
       4919;2020051608;    3;  13.7;eor
       4919;2020051609;    3;  13.4;eor
       4919;2020051610;    3;  12.3;eor
       4919;2020051611;    3;  12.8;eor
       4919;2020051612;    3;  12.3;eor
       4919;2020051613;    3;  12.6;eor
       4919;2020051614;    3;  12.3;eor
       4919;2020051615;    3;  11.8;eor
       4919;2020051616;    3;  11.7;eor
       4919;2020051617;    3;  11.6;eor
       4919;2020051618;    3;  12.0;eor
       4919;2020051619;    3;  12.2;eor
       4919;2020051620;    3;  11.8;eor
       4919;2020051621;    3;  11.4;eor
       4919;2020051622;    3;  10.8;eor
       4919;2020051623;    3;  11.7;eor
       4919;2020051700;    3;  12.2;eor
       4919;2020051701;    3;  12.4;eor
       4919;2020051702;    3;  12.2;eor
       4919;2020051703;    3;  12.4;eor
       4919;2020051704;    3;  13.0;eor
       4919;2020051705;    3;  12.3;eor
       4919;2020051706;    3;  12.4;eor
       4919;2020051707;    3;  11.8;eor
       4919;2020051708;    3;  12.1;eor
       4919;2020051709;    3;  13.1;eor
       4919;2020051710;    3;  14.1;eor
       4919;2020051711;    3;  14.1;eor
       4919;2020051712;    3;  12.8;eor
       4919;2020051713;    3;  14.8;eor
       4919;2020051714;    3;  16.3;eor
       4919;2020051715;    3;  16.7;eor
       4919;2020051716;    3;  16.7;eor
       4919;2020051717;    3;  15.7;eor
       4919;2020051718;    3;  14.5;eor
       4919;2020051719;    3;  13.6;eor
       4919;2020051720;    3;  13.8;eor
       4919;2020051721;    3;  13.4;eor
       4919;2020051722;    3;  12.3;eor
       4919;2020051723;    3;  13.2;eor
       4919;2020051800;    3;  11.7;eor
       4919;2020051801;    3;  12.1;eor
       4919;2020051802;    3;  11.2;eor
       4919;2020051803;    3;   9.4;eor
       4919;2020051804;    3;   9.7;eor
       4919;2020051805;    3;   9.4;eor
       4919;2020051806;    3;   9.6;eor
       4919;2020051807;    3;  10.5;eor
       4919;2020051808;    3;  12.2;eor
       4919;2020051809;    3;  10.9;eor
       4919;2020051810;    3;  10.5;eor
       4919;2020051811;    3;  10.7;eor
       4919;2020051812;    3;  11.7;eor
       4919;2020051813;    3;  14.3;eor
       4919;2020051814;    3;  15.2;eor
       4919;2020051815;    3;  13.1;eor
       4919;2020051816;    3;  12.5;eor
       4919;2020051817;    3;  12.1;eor
       4919;2020051818;    3;  11.9;eor
       4919;2020051819;    3;  11.3;eor
       4919;2020051820;    3;  10.9;eor
       4919;2020051821;    3;  10.8;eor
       4919;2020051822;    3;  11.0;eor
       4919;2020051823;    3;  11.9;eor
       4919;2020051900;    3;  11.8;eor
       4919;2020051901;    3;  11.7;eor
       4919;2020051902;    3;  11.3;eor
       4919;2020051903;    3;  10.6;eor
       4919;2020051904;    3;  11.3;eor
       4919;2020051905;    3;  10.3;eor
       4919;2020051906;    3;  12.0;eor
       4919;2020051907;    3;  12.1;eor
       4919;2020051908;    3;  12.8;eor
       4919;2020051909;    3;  12.1;eor
       4919;2020051910;    3;  10.2;eor
       4919;2020051911;    3;   8.5;eor
       4919;2020051912;    3;   7.8;eor
       4919;2020051913;    3;   6.1;eor
       4919;2020051914;    3;   6.3;eor
       4919;2020051915;    3;   6.3;eor
       4919;2020051916;    3;   7.2;eor
       4919;2020051917;    3;   7.2;eor
       4919;2020051918;    3;   7.2;eor
       4919;2020051919;    3;   6.8;eor
       4919;2020051920;    3;   5.5;eor
       4919;2020051921;    3;   5.1;eor
       4919;2020051922;    3;   4.7;eor
       4919;2020051923;    3;   3.9;eor
       4919;2020052000;    3;   3.6;eor
       4919;2020052001;    3;   3.5;eor
       4919;2020052002;    3;   3.1;eor
       4919;2020052003;    3;   2.6;eor
       4919;2020052004;    3;   2.8;eor
       4919;2020052005;    3;   2.4;eor
       4919;2020052006;    3;   2.5;eor
       4919;2020052007;    3;   2.4;eor
       4919;2020052008;    3;   3.5;eor
       4919;2020052009;    3;   2.2;eor
       4919;2020052010;    3;   3.4;eor
       4919;2020052011;    3;   5.2;eor
       4919;2020052012;    3;   5.9;eor
       4919;2020052013;    3;   6.1;eor
       4919;2020052014;    3;   7.2;eor
       4919;2020052015;    3;   7.4;eor
       4919;2020052016;    3;   6.6;eor
       4919;2020052017;    3;   8.2;eor
       4919;2020052018;    3;   7.7;eor
       4919;2020052019;    3;   6.5;eor
       4919;2020052020;    3;   5.9;eor
       4919;2020052021;    3;   6.0;eor
       4919;2020052022;    3;   4.5;eor
       4919;2020052023;    3;   5.0;eor
       4919;2020052100;    3;   4.0;eor
       4919;2020052101;    3;   3.5;eor
       4919;2020052102;    3;   3.7;eor
       4919;2020052103;    3;   2.5;eor
       4919;2020052104;    3;   2.0;eor
       4919;2020052105;    3;   2.9;eor
       4919;2020052106;    3;   2.9;eor
       4919;2020052107;    3;   3.4;eor
       4919;2020052108;    3;   3.7;eor
       4919;2020052109;    3;   4.1;eor
       4919;2020052110;    3;   4.0;eor
       4919;2020052111;    3;   5.1;eor
       4919;2020052112;    3;   5.5;eor
       4919;2020052113;    3;   4.9;eor
       4919;2020052114;    3;   4.6;eor
       4919;2020052115;    3;   3.6;eor
       4919;2020052116;    3;   3.6;eor
       4919;2020052117;    3;   4.1;eor
       4919;2020052118;    3;   4.6;eor
       4919;2020052119;    3;   5.0;eor
       4919;2020052120;    3;   4.2;eor
       4919;2020052121;    3;   7.8;eor
       4919;2020052122;    3;   7.7;eor
       4919;2020052123;    3;   8.1;eor
       4919;2020052200;    3;   8.5;eor
       4919;2020052201;    3;   8.6;eor
       4919;2020052202;    3;   8.6;eor
       4919;2020052203;    3;   9.2;eor
       4919;2020052204;    3;   9.0;eor
       4919;2020052205;    3;   9.5;eor
       4919;2020052206;    3;   9.9;eor
