ID;KreisPot;KreisVor;StadtPot;StadtVor;haPot;haVor;WKAPot;WKAVor;Coords Pot;Coords Vor;Wetter-ID_Head;besetze Fläche;freieVor in ha
PR3_DIT_104;Dithmarschen;Dithmarschen;Diekhusen-Fahrstedt,Schmedeswurth;Diekhusen-Fahrstedt,Schmedeswurth;107,6;93,2;WKA in Betrieb;WKA in Betrieb;[53.9361579, 9.0303212];[53.9361579, 9.0303212];4039;20,08;73,12
PR3_DIT_105;Dithmarschen;-;BrunsbÃ¼ttel;-;133,0;0,0;-;-;[53.8972549, 9.1395423];[0, 0];4039;0,0;0,0
PR3_DIT_106;Dithmarschen;Dithmarschen;BrunsbÃ¼ttel;BrunsbÃ¼ttel;35,5;35,5;-;-;[53.8972549, 9.1395423];[53.8972549, 9.1395423];4039;0,0;35,5
PR3_DIT_107;Dithmarschen;Dithmarschen;BrunsbÃ¼ttel,Ramhusen;BrunsbÃ¼ttel,Ramhusen;117,8;117,8;WKA in Betrieb;WKA in Betrieb;[53.9197739, 9.1112229];[53.9197739, 9.1112229];4039;98,318;19,482
PR3_DIT_108;Dithmarschen;Dithmarschen;BrunsbÃ¼ttel;BrunsbÃ¼ttel;29,8;29,8;WKA in Betrieb;WKA in Betrieb;[53.8972549, 9.1395423];[53.8972549, 9.1395423];4039;0,0;29,8
PR3_DIT_109;Dithmarschen;Dithmarschen;Diekhusen-Fahrstedt,Neufeld,Schmedeswurth;Diekhusen-Fahrstedt,Neufeld,Schmedeswurth;144,9;143,5;WKA in Betrieb;WKA in Betrieb;[53.9274528, 9.0276063];[53.9274528, 9.0276063];4039;0,0;143,5
PR3_DIT_110;Dithmarschen;Dithmarschen;BrunsbÃ¼ttel,Neufeld,Schmedeswurth;BrunsbÃ¼ttel,Neufeld;330,3;322,6;WKA in Betrieb;WKA in Betrieb;[53.9113656, 9.0673111];[53.9036488, 9.0808595];4039;211,806;110,79400000000001
PR3_DIT_111;Dithmarschen;-;BrunsbÃ¼ttel;-;34,1;0,0;-;-;[53.8972549, 9.1395423];[0, 0];4039;0,0;0,0
PR3_DIT_112;Dithmarschen;-;BrunsbÃ¼ttel;-;61,3;0,0;WKA in Betrieb;-;[53.8972549, 9.1395423];[0, 0];4039;0,0;0,0
PR3_DIT_134;Dithmarschen;-;BergewÃ¶hrden,Hennstedt,SÃ¼derstapel;-;185,8;0,0;-;-;[54.3021373, 9.1884576];[0, 0];2303;0,0;0,0
PR3_DIT_301;Dithmarschen;-;Lehe;-;139,8;0,0;WKA in Betrieb;-;[54.3414522, 9.0228629];[0, 0];4919;0,0;0,0
PR3_DIT_302;Dithmarschen;-;Lehe,St. Annen;-;63,0;0,0;-;-;[54.3452736, 9.0505181];[0, 0];4919;0,0;0,0
PR3_DIT_303;Dithmarschen;-;Fedderingen;-;52,1;0,0;-;-;[54.2817712, 9.1306333];[0, 0];1200;0,0;0,0
PR3_DIT_304;Dithmarschen;-;Fedderingen,Stelle-Wittenwurth,Weddingstedt,Wiemerstedt;-;255,2;0,0;-;-;[54.2612874, 9.0969276];[0, 0];1200;0,0;0,0
PR3_DIT_305;Dithmarschen;-;Dellstedt,Tielenhemme;-;20,7;0,0;-;-;[54.2567808, 9.3792138];[0, 0];2303;0,0;0,0
PR3_DIT_307;Dithmarschen;-;Heide;-;36,8;0,0;-;-;[54.1948456, 9.0929015];[0, 0];1200;0,0;0,0
PR3_DIT_309;Dithmarschen;-;Bargenstedt,EpenwÃ¶hrden,Hemmingstedt,Meldorf,Nindorf,SarzbÃ¼ttel;-;974,5;0,0;-;-;[54.1081989, 9.107758];[0, 0];1200;0,0;0,0
PR3_DIT_310;Dithmarschen;-;Nordhastedt,Odderade,SarzbÃ¼ttel;-;306,6;0,0;-;-;[54.1424959, 9.1855024];[0, 0];1200;0,0;0,0
PR3_DIT_312;Dithmarschen;-;ElpersbÃ¼ttel,Krumstedt,Nindorf,Windbergen,Wolmersdorf;-;403,1;0,0;-;-;[54.0702538, 9.1118369];[0, 0];1200;0,0;0,0
PR3_DIT_314;Dithmarschen;-;Frestedt,Krumstedt,SÃ¼derhastedt;-;201,7;0,0;-;-;[54.048134, 9.1884298];[0, 0];4039;0,0;0,0
PR3_DIT_317;Dithmarschen;-;Kaiser-Wilhelm-Koog;-;18,0;0,0;WKA in Betrieb;-;[53.9432915, 8.9260047];[0, 0];1200;0,0;0,0
PR3_DIT_401;Dithmarschen;-;Lehe;-;86,4;0,0;-;-;[54.3414522, 9.0228629];[0, 0];4919;0,0;0,0
PR3_DIT_402;Dithmarschen;-;Groven;-;29,0;0,0;-;-;[54.3135257, 8.9980958];[0, 0];788;0,0;0,0
PR3_DIT_403;Dithmarschen;-;Delve,GlÃ¼sing,Pahlen,Schalkholz,Wallen;-;204,7;0,0;-;-;[54.2749974, 9.2583626];[0, 0];2303;0,0;0,0
PR3_DIT_405;Dithmarschen;-;SÃ¼derdorf;-;23,1;0,0;-;-;[54.2134347, 9.3369528];[0, 0];2303;0,0;0,0
PR3_DIT_406;Dithmarschen;-;Bunsoh,OffenbÃ¼ttel;-;24,5;0,0;-;-;[54.1669158, 9.3385918];[0, 0];2303;0,0;0,0
PR3_DIT_407;Dithmarschen;-;NorderwÃ¶hrden;-;30,7;0,0;-;-;[54.2, 9.01667];[0, 0];788;0,0;0,0
PR3_DIT_408;Dithmarschen;-;Lohe-Rickelshof;-;17,4;0,0;-;-;[54.1877386, 9.0675296];[0, 0];1200;0,0;0,0
PR3_DIT_409;Dithmarschen;Dithmarschen;Krumstedt,TensbÃ¼ttel-RÃ¶st;Krumstedt,TensbÃ¼ttel-RÃ¶st;29,2;28,9;-;-;[54.0938745, 9.2094651];[54.0938745, 9.2094651];4039;0,0;28,9
PR3_DIT_410;Dithmarschen;-;Krumstedt,Schafstedt;-;32,6;0,0;-;-;[54.0752758, 9.23778];[0, 0];4039;0,0;0,0
PR3_DIT_411;Dithmarschen;-;SÃ¼derhastedt;-;19,6;0,0;-;-;[54.0516058, 9.2090204];[0, 0];4039;0,0;0,0
PR3_DIT_412;Dithmarschen;-;Eggstedt,Holstenniendorf,Schafstedt;-;105,8;0,0;-;-;[54.0672722, 9.2787917];[0, 0];4039;0,0;0,0
PR3_DIT_413;Dithmarschen;-;Averlak,Buchholz,Burg (Dithmarschen),Kuden;-;203,3;0,0;-;-;[53.9736585, 9.2153483];[0, 0];4039;0,0;0,0
PR3_DIT_414;Dithmarschen;-;Buchholz,Kuden;-;58,6;0,0;-;-;[53.9777417, 9.2102831];[0, 0];4039;0,0;0,0
PR3_DIT_415;Dithmarschen;-;Averlak;-;32,3;0,0;-;-;[53.9414553, 9.1841596];[0, 0];4039;0,0;0,0
PR3_DIT_416;Dithmarschen;-;Volsemenhusen;-;26,5;0,0;-;-;[53.966405, 9.0639808];[0, 0];4039;0,0;0,0
PR3_DIT_417;Dithmarschen;-;Schmedeswurth;-;23,3;0,0;-;-;[53.9267994, 9.0402144];[0, 0];4039;0,0;0,0
PR3_DIT_418;Dithmarschen;Dithmarschen;Friedrichskoog;Friedrichskoog;27,4;27,4;-;-;[54.0072866, 8.8841226];[54.0072866, 8.8841226];1200;0,0;27,4
PR3_DIT_419;Dithmarschen;Dithmarschen;Kronprinzenkoog;Kronprinzenkoog;15,0;15,0;-;-;[53.9708971, 8.9609516];[53.9708971, 8.9609516];1200;0,0;15,0
PR3_DIT_501;Dithmarschen;-;Karolinenkoog;-;25,0;0,0;-;-;[54.2833, 8.96667];[0, 0];788;0,0;0,0
PR3_DIT_094;Dithmarschen;Dithmarschen;Friedrichskoog,Â Kronprinzenkoog;Friedrichskoog,Â Kronprinzenkoog;328,2;317,4;-;-;[53.9890919, 8.9225371];[53.9890919, 8.9225371];1200;0,0;317,4
PR3_DIT_099;Dithmarschen;Dithmarschen;Friedrichskoog,Â Kronprinzenkoog;Friedrichskoog,Â Kronprinzenkoog;72,9;72,9;-;-;[53.9890919, 8.9225371];[53.9890919, 8.9225371];1200;0,0;72,9
PR3_DIT_101;Dithmarschen;Dithmarschen;Friedrichskoog,Â Kaiser?Wilhelm?Koog;Friedrichskoog,Â Kaiser?Wilhelm?Koog;48,5;48,5;-;-;[53.9739988, 8.9054981];[53.9739988, 8.9054981];1200;0,0;48,5
PR3_LAU_001;Herzogtum Lauenburg;Herzogtum Lauenburg;Bliestorf,Kastorf,SiebenbÃ¤umen;Bliestorf,Kastorf,SiebenbÃ¤umen;229,9;86,4;WKA in Betrieb;WKA in Betrieb;[53.7540627, 10.5620378];[53.7540627, 10.5620378];3086;94,08;-7,679999999999993
PR3_LAU_002;Herzogtum Lauenburg;-;Rondeshagen;-;28,1;0,0;-;-;[53.751837, 10.6288891];[0, 0];3086;0,0;0,0
PR3_LAU_003;Herzogtum Lauenburg;-;Berkenthin;-;72,2;0,0;-;-;[53.7338071, 10.6391585];[0, 0];3086;0,0;0,0
PR3_LAU_005;Herzogtum Lauenburg;-;GroÃ Boden,SchÃ¼rensÃ¶hlen,Steinhorst;-;188,7;0,0;-;-;[53.7453618, 10.4693709];[0, 0];3086;0,0;0,0
PR3_LAU_006;Herzogtum Lauenburg;Herzogtum Lauenburg;Lasbek,Stubben;Lasbek;131,8;106,2;WKA in Betrieb;WKA in Betrieb;[53.7336268, 10.4320818];[0, 0];3086;0,0;0,0
PR3_LAU_009;Herzogtum Lauenburg;-;Buchholz,Einhaus;-;23,5;0,0;-;-;[53.7253274, 10.7367175];[0, 0];3086;0,0;0,0
PR3_LAU_011;Herzogtum Lauenburg;-;DÃ¼chelsdorf,GÃ¶ldenitz,Klinkrade,Niendorfbei Berkenthin,Sierksrade;-;156,8;0,0;-;-;[53.728055, 10.5911251];[0, 0];3086;0,0;0,0
PR3_LAU_012;Herzogtum Lauenburg;-;Behlendorf;-;24,6;0,0;-;-;[53.6985833, 10.6685418];[0, 0];3086;0,0;0,0
PR3_LAU_013;Herzogtum Lauenburg;-;Kulpin;-;42,6;0,0;-;-;[53.7091424, 10.6957205];[0, 0];3086;0,0;0,0
PR3_LAU_014;Herzogtum Lauenburg;-;Schiphorst,Stubben;-;76,8;0,0;WKA in Betrieb;-;[53.7207973, 10.4469459];[0, 0];3086;0,0;0,0
PR3_LAU_015;Herzogtum Lauenburg;-;Sandesneben,Schiphorst,Steinhorst;-;114,7;0,0;-;-;[53.7049664, 10.480889];[0, 0];3086;0,0;0,0
PR3_LAU_017;Herzogtum Lauenburg;-;Behlendorf;-;31,8;0,0;-;-;[53.6985833, 10.6685418];[0, 0];3086;0,0;0,0
PR3_LAU_018;Herzogtum Lauenburg;-;Duvensee,KÃ¼hsen,Niendorf bei Berkenthin;-;62,6;0,0;-;-;[53.6941697, 10.6032491];[0, 0];3086;0,0;0,0
PR3_LAU_019;Herzogtum Lauenburg;-;Behlendorf;-;40,4;0,0;-;-;[53.6985833, 10.6685418];[0, 0];3086;0,0;0,0
PR3_LAU_020;Herzogtum Lauenburg;-;Fredeburg,Giesensdorf,Ratzeburg;-;22,8;0,0;-;-;[53.6818829, 10.7380485];[0, 0];3086;0,0;0,0
PR3_LAU_021;Herzogtum Lauenburg;-;Behlendorf,Lankau;-;55,7;0,0;-;-;[53.6826417, 10.6676209];[0, 0];3086;0,0;0,0
PR3_LAU_022;Herzogtum Lauenburg;-;LÃ¼chow,Sirksfelde;-;74,6;0,0;-;-;[53.6775253, 10.5207136];[0, 0];3086;0,0;0,0
PR3_LAU_023;Herzogtum Lauenburg;-;Schmilau;-;95,0;0,0;-;-;[53.6637189, 10.7571845];[0, 0];3086;0,0;0,0
PR3_LAU_024;Herzogtum Lauenburg;-;Wentorf (Amt Sandesneben);-;22,1;0,0;-;-;[53.6726492, 10.4740888];[0, 0];3086;0,0;0,0
PR3_LAU_025;Herzogtum Lauenburg;-;KÃ¼hsen,Nusse;-;54,0;0,0;-;-;[53.6703637, 10.5985465];[0, 0];3086;0,0;0,0
PR3_LAU_026;Herzogtum Lauenburg;-;Schmilau;-;89,2;0,0;-;-;[53.6637189, 10.7571845];[0, 0];3086;0,0;0,0
PR3_LAU_027;Herzogtum Lauenburg;-;Lankau;-;82,3;0,0;-;-;[53.6667, 10.6667];[0, 0];3086;0,0;0,0
PR3_LAU_028;Herzogtum Lauenburg;-;Koberg,Ritzerau;-;45,7;0,0;-;-;[53.6481803, 10.5414026];[0, 0];3086;0,0;0,0
PR3_LAU_029;Herzogtum Lauenburg;-;Horst,Sterley;-;121,5;0,0;-;-;[53.6267438, 10.7921958];[0, 0];3086;0,0;0,0
PR3_LAU_030;Herzogtum Lauenburg;-;Sterley;-;15,4;0,0;-;-;[53.6194729, 10.8188333];[0, 0];3086;0,0;0,0
PR3_LAU_031;Herzogtum Lauenburg;-;Koberg,Linau;-;149,8;0,0;-;-;[53.639979, 10.4938852];[0, 0];3086;0,0;0,0
PR3_LAU_032;Herzogtum Lauenburg;-;Horst,Sterley;-;43,4;0,0;-;-;[53.6267438, 10.7921958];[0, 0];3086;0,0;0,0
PR3_LAU_033;Herzogtum Lauenburg;Herzogtum Lauenburg;Alt MÃ¶lln,BÃ¤lau,Panten,Poggensee;BÃ¤lau,Panten,Poggensee;382,9;186,5;WKA in Betrieb;WKA in Betrieb;[53.6349666, 10.6180891];[53.6410554, 10.6074521];3086;0,0;186,5
PR3_LAU_034;Herzogtum Lauenburg;-;Horst,Sterley;-;105,5;0,0;-;-;[53.6267438, 10.7921958];[0, 0];3086;0,0;0,0
PR3_LAU_035;Herzogtum Lauenburg;-;Walksfelde;-;25,7;0,0;-;-;[53.6329056, 10.5754036];[0, 0];3086;0,0;0,0
PR3_LAU_036;Herzogtum Lauenburg;-;Seedorf;-;58,7;0,0;-;-;[53.6195914, 10.8672662];[0, 0];3086;0,0;0,0
PR3_LAU_037;Herzogtum Lauenburg;-;Sterley;-;30,6;0,0;-;-;[53.6194729, 10.8188333];[0, 0];3086;0,0;0,0
PR3_LAU_038;Herzogtum Lauenburg;-;BÃ¤lau,Borstorf,Breitenfelde,Niendorf/Stecknitz;-;124,2;0,0;-;-;[53.6061614, 10.6062358];[0, 0];3086;0,0;0,0
PR3_LAU_039;Herzogtum Lauenburg;-;Hollenbek,Seedorf;-;39,3;0,0;-;-;[53.6054415, 10.8438199];[0, 0];3086;0,0;0,0
