ID;KreisPot;KreisVor;StadtPot;StadtVor;haPot;haVor
PR1_NFL_115;Nordfriesland;Nordfriesland;Oster-Ohrstedt;Oster-Ohrstedt;64,0;64,0
PR1_NFL_118;Nordfriesland;Nordfriesland;Wittbek;Wittbek;72,5;72,5
PR1_NFL_120;Nordfriesland;Nordfriesland;Wittbek;Wittbek;46,3;35,5
PR1_NFL_121;Nordfriesland;-;Mildstedt, Schwesing;-;15,2;-
PR1_NFL_122;Nordfriesland;Nordfriesland;Rantrum, Schwesing, Wester-Ohrstedt,Wittbek;Rantrum, Wittbek;177,6;74,0
PR1_NFL_123;Nordfriesland;-;Ostenfeld (Husum), Wittbek;-;28,4;-
PR1_NFL_124;Nordfriesland;-;Wittbek;-;23,7;-
PR1_NFL_125;Nordfriesland;Nordfriesland;Oldersbek, Ostenfeld (Husum), Rantrum,Winnert;Oldersbek, Ostenfeld (Husum),Rantrum, Winnert;444,1;257,5
PR1_NFL_135;Nordfriesland;Nordfriesland;Schwesing, Wester-Ohrstedt;Schwesing, Wester-Ohrstedt;106,1;86,2
PR1_NFL_301;Nordfriesland;Nordfriesland;Dagebüll;Dagebüll;116,0;115,5
PR1_NFL_302;Nordfriesland;Nordfriesland;Simonsberg, Südermarsch;Südermarsch;185,0;127,6
PR1_NFL_303;Nordfriesland;Nordfriesland;Simonsberg;Simonsberg;18,9;18,9
PR1_NFL_304;Nordfriesland;-;Simonsberg, Witzwort;-;86,0;-
PR1_NFL_305;Nordfriesland;-;Koldenbüttel, Witzwort;-;50,5;-
PR1_NFL_306;Nordfriesland;-;Witzwort;-;41,7;-
PR1_NFL_307;Nordfriesland;-;Witzwort;-;46,5;-
PR1_NFL_308;Nordfriesland;Nordfriesland;Uelvesbüll;Uelvesbüll;97,1;84,4
PR1_NFL_309;Nordfriesland;Nordfriesland;Oldenswort, Witzwort;Oldenswort;294,2;106,9
PR1_NFL_310;Nordfriesland;-;Oldenswort, Witzwort;-;151,2;-
PR1_NFL_311;Nordfriesland;-;Oldenswort, Tönning;-;84,0;-
PR1_NFL_313;Nordfriesland;-;Kotzenbüll, Oldenswort, Tönning;-;214,3;-
PR1_NFL_315;Nordfriesland;-;Oldenswort;-;41,2;-
PR1_NFL_316;Nordfriesland;-;Oldenswort;-;44,6;-
PR1_NFL_317;Nordfriesland;-;Oldenswort, Tetenbüll;-;112,7;-
PR1_NFL_318;Nordfriesland;-;Tetenbüll;-;53,1;-
PR1_NFL_319;Nordfriesland;-;Tating;-;99,5;-
PR1_NFL_401;Nordfriesland;-;Sylt;-;33,7;-
PR1_NFL_402;Nordfriesland;-;Sylt;-;77,6;-
PR1_NFL_403;Nordfriesland;-;Alkersum, Borgsum, Midlum, Nieblum,Oevenum, Oldsum, Süderende, Wrixum;-;669,4;-
PR1_NFL_404;Nordfriesland;-;Oevenum;-;25,0;-
PR1_NFL_405;Nordfriesland;-;Süderlügum;-;28,1;-
PR1_NFL_406;Nordfriesland;Nordfriesland;Bramstedtlund, Ladelund, Weesby;Bramstedtlund, Weesby;257,2;58,5
PR1_NFL_407;Nordfriesland;-;Bramstedtlund, Ladelund;-;52,4;-
PR1_NFL_409;Nordfriesland;-;Galmsbüll, Risum-Lindholm;-;89,5;-
PR1_NFL_410;Nordfriesland;-;Treia;-;15,2;-
PR1_NFL_411;Nordfriesland;-;Goldelund;-;21,0;-
PR1_NFL_412;Nordfriesland;-;Immenstedt;-;19,0;-
PR1_NFL_413;Nordfriesland;-;Ahrenshöft, Viöl;-;39,5;-
PR1_NFL_414;Nordfriesland;Nordfriesland;Elisabeth-Sophien-Koog, Nordstrand;Elisabeth-Sophien-Koog, Nordstrand;50,6;41,4
PR1_NFL_415;Nordfriesland;-;Koldenbüttel, Witzwort;-;31,7;-
PR1_NFL_416;Nordfriesland;-;Witzwort;-;21,4;-
PR1_NFL_417;Nordfriesland;-;Oldenswort;-;22,4;-
PR1_NFL_418;Nordfriesland;-;Kotzenbüll, Tönning;-;39,0;-
PR1_NFL_419;Nordfriesland;-;Garding, Kirchspiel, Katharinenheerd,Tönning, Welt;-;216,7;-
PR1_NFL_420;Nordfriesland;-;Tönning;-;61,6;-
PR1_NFL_421;Nordfriesland;-;Tönning;-;152,1;-
PR1_NFL_425;Nordfriesland;Nordfriesland;Bramstedtlund, Holt, Ladelund;Bramstedtlund, Holt, Ladelund;372,3;187,3
PR1_NFL_426;Nordfriesland;-;Ahrenshöft;-;21,6;-
PR1_NFL_427;Nordfriesland;Nordfriesland;Karlum, Ladelund;Karlum, Ladelund;72,5;55,9
PR1_NFL_501;Nordfriesland;-;Ahrenviöl, Immenstedt;-;84,0;-
PR1_NFL_502;Nordfriesland;-;Ladelund;-;31,2;-
PR1_NFL_503;Nordfriesland;-;Ladelund;-;41,3;-
PR1_NFL_504;Nordfriesland;Nordfriesland;Olderup;Olderup;16,0;16,0
