ID;KreisPot;KreisVor;StadtPot;StadtVor;haPot;haVor;Coords;Wetter-ID
PR3_LAU_021;Herzogtum Lauenburg;-;Behlendorf, Lankau;-;55.7;-;[53.6826417, 10.6676209];1736
PR3_LAU_022;Herzogtum Lauenburg;-;Lüchow, Sirksfelde;-;74.6;-;[53.6775253, 10.5207136];1736
PR3_LAU_023;Herzogtum Lauenburg;-;Schmilau;-;95.0;-;[53.6637189, 10.7571845];1736
PR3_LAU_024;Herzogtum Lauenburg;-;Wentorf (Amt Sandesneben);-;22. Jan;-;[53.6726492, 10.4740888];1736
PR3_LAU_025;Herzogtum Lauenburg;-;Kühsen, Nusse;-;54.0;-;[53.6703637, 10.5985465];1736
PR3_LAU_026;Herzogtum Lauenburg;-;Schmilau;-;89.2;-;[53.6637189, 10.7571845];1736
PR3_LAU_027;Herzogtum Lauenburg;-;Lankau;-;82.3;-;[53.6667, 10.6667];1736
PR3_LAU_028;Herzogtum Lauenburg;-;Koberg, Ritzerau;-;45.7;-;[53.6481803, 10.5414026];1736
PR3_LAU_029;Herzogtum Lauenburg;-;Horst, Sterley;-;121.5;-;[53.7152638, 10.2191456];4039
PR3_LAU_030;Herzogtum Lauenburg;-;Sterley;-;15. Apr;-;[53.6194729, 10.8188333];1736
PR3_LAU_031;Herzogtum Lauenburg;-;Koberg, Linau;-;149.8;-;[53.639979, 10.4938852];1736
PR3_LAU_032;Herzogtum Lauenburg;-;Horst, Sterley;-;43.4;-;[53.7152638, 10.2191456];4039
PR3_LAU_033;Herzogtum Lauenburg;Herzogtum Lauenburg;Alt Mölln, Bälau, Panten, Poggensee;Bälau, Panten, Poggensee;382.9;186,5;[53.6349666, 10.6180891];1736
PR3_LAU_034;Herzogtum Lauenburg;-;Horst, Sterley;-;105.5;-;[53.7152638, 10.2191456];4039
PR3_LAU_035;Herzogtum Lauenburg;-;Walksfelde;-;25. Jul;-;[53.6329056, 10.5754036];1736
PR3_LAU_036;Herzogtum Lauenburg;-;Seedorf;-;58.7;-;[53.6195914, 10.8672662];1736
PR3_LAU_037;Herzogtum Lauenburg;-;Sterley;-;30. Jun;-;[53.6194729, 10.8188333];1736
PR3_LAU_038;Herzogtum Lauenburg;-;Bälau, Borstorf, Breitenfelde,Niendorf/Stecknitz;-;124.2;-;[53.6061614, 10.6062358];1736
PR3_LAU_039;Herzogtum Lauenburg;-;Hollenbek, Seedorf;-;39.3;-;[53.6054415, 10.8438199];1736
PR3_LAU_041;Herzogtum Lauenburg;Herzogtum Lauenburg;Breitenfelde;Breitenfelde;82.7;31,8;[53.6072865, 10.6352046];1736
PR3_LAU_042;Herzogtum Lauenburg;Herzogtum Lauenburg;Breitenfelde, Woltersdorf;Breitenfelde, Woltersdorf;155.8;75,4;[53.592493, 10.6369881];1736
PR3_LAU_043;Herzogtum Lauenburg;-;Gudow, Lehmrade;-;93.7;-;[53.5745797, 10.7586082];1736
PR3_LAU_044;Herzogtum Lauenburg;-;Klein Zecher;-;48.6;-;[53.5781131, 10.8735174];1736
PR3_LAU_045;Herzogtum Lauenburg;-;Gudow, Hollenbek;-;283.2;-;[53.5732664, 10.7934759];1736
PR3_LAU_046;Herzogtum Lauenburg;-;Besenthal, Gudow;-;95.7;-;[53.5425742, 10.7540471];1736
PR3_LAU_047;Herzogtum Lauenburg;-;Besenthal, Göttin;-;123.5;-;[53.5307997, 10.7220814];1736
PR3_LAU_048;Herzogtum Lauenburg;-;Elmenhorst, Groß Pampau, Kankelau, Sahms;-;92.4;-;[53.5347986, 10.5487183];1736
PR3_LAU_049;Herzogtum Lauenburg;-;Roseburg;-;40.1;-;[53.5314978, 10.6265906];1736
PR3_LAU_050;Herzogtum Lauenburg;-;Roseburg;-;34.7;-;[53.5314978, 10.6265906];1736
PR3_LAU_052;Herzogtum Lauenburg;-;Klein Pampau, Siebeneichen;-;38.3;-;[53.5107627, 10.5988946];1736
PR3_LAU_053;Herzogtum Lauenburg;-;Fitzen;-;18. Aug;-;[53.4957965, 10.6485605];1736
PR3_LAU_054;Herzogtum Lauenburg;-;Brunstorf, Dassendorf;-;114.0;-;[53.4915422, 10.3997872];1736
PR3_LAU_055;Herzogtum Lauenburg;-;Brunstorf, Dassendorf, Worth;-;96.2;-;[53.48383, 10.4029283];1736
PR3_LAU_056;Herzogtum Lauenburg;-;Büchen, Schulendorf;-;30. Jul;-;[53.4781777, 10.5885887];1736
PR3_LAU_057;Herzogtum Lauenburg;-;Bröthen;-;54.1;-;[53.4795325, 10.6661394];1736
PR3_LAU_058;Herzogtum Lauenburg;-;Hohenhorn;-;17.0;-;[53.4762046, 10.3687668];1736
