KREIS;GEMEINDE;TYP;MODELL;HERSTELLER;NABENHOEHE;ROTORDURCHMESSER;SCHALLLEISTUNGSPEGEL;LEISTUNG;LEISTUNGSBEZUG;OSTWERT (EPSG:4647);NORDWERT (EPSG:4647);GENEHMIGT_AM;INBETRIEBNAHME;STATUS;BST_NR;ANL_NR;DATENDATUM;DATENQUELLE;BETREIBER;Coords;Wetter-ID
HH;Dradenau;Nordex N100/2500;Enercon E-70 E4/2000;Nordex;;;;2500.0;kW Nennleist. Rotor.;32560514.0;5930784.0;;2010.0;;;;;;Hamburg Energie, Eurogate;[53.5255026, 9.8994663];4039
HH;Dradenau;Nordex N100/2500;Enercon E-70 E4/2000;Nordex;;;;2500.0;kW Nennleist. Rotor.;32560514.0;5930784.0;;2010.0;;;;;;Hamburg Energie, Eurogate;[53.5255026, 9.8994663];4039
HH;Francop;Micon M1500-600;Enercon E-70 E4/2000;NEG Micon;;;;600.0;kW Nennleist. Rotor.;32556363.0;5928198.0;;1991.0;;;;;;Plan 8;[53.5040949, 9.8776069];4039
HH;Francop;Micon M1500-600;Enercon E-70 E4/2000;NEG Micon;;;;600.0;kW Nennleist. Rotor.;32556363.0;5928198.0;;1991.0;;;;;;Plan 8;[53.5040949, 9.8776069];4039
HH;Francop;Micon M1500-600;Enercon E-70 E4/2000;NEG Micon;;;;600.0;kW Nennleist. Rotor.;32556363.0;5928198.0;;1991.0;;;;;;Plan 8;[53.5040949, 9.8776069];4039
HH;Francop;Enercon E-40/5.40;Enercon E-70 E4/2000;Enercon;;;;500.0;kW Nennleist. Rotor.;32556363.0;5928198.0;;1996.0;;;;;;Plan 8;[53.5040949, 9.8776069];4039
HH;Francop;Enercon E-40/5.40;Enercon E-70 E4/2000;Enercon;;;;500.0;kW Nennleist. Rotor.;32556363.0;5928198.0;;1996.0;;;;;;Plan 8;[53.5040949, 9.8776069];4039
HH;Francop;Enercon E-40/5.40;Enercon E-70 E4/2000;Enercon;;;;500.0;kW Nennleist. Rotor.;32556363.0;5928198.0;;1996.0;;;;;;Plan 8;[53.5040949, 9.8776069];4039
HH;Francop;Enercon E-40/6.44;Enercon E-70 E4/2000;Enercon;;;;600.0;kW Nennleist. Rotor.;32556363.0;5928198.0;;1998.0;;;;;;Plan 8;[53.5040949, 9.8776069];4039
HH;Francop;Enercon E-40/6.44;Enercon E-70 E4/2000;Enercon;;;;600.0;kW Nennleist. Rotor.;32556363.0;5928198.0;;1998.0;;;;;;Plan 8;[53.5040949, 9.8776069];4039
HH;Francop;Enercon E-40/6.44;Enercon E-70 E4/2000;Enercon;;;;600.0;kW Nennleist. Rotor.;32556363.0;5928198.0;;1998.0;;;;;;Plan 8;[53.5040949, 9.8776069];4039
HH;Francop;Enercon E-40/6.44;Enercon E-70 E4/2000;Enercon;;;;600.0;kW Nennleist. Rotor.;32556363.0;5928198.0;;1998.0;;;;;;Plan 8;[53.5040949, 9.8776069];4039
HH;Francop;Vestas V90-2MW;Enercon E-70 E4/2000;Vestas;;;;2000.0;kW Nennleist. Rotor.;32556363.0;5928198.0;;2013.0;;;;;;Plan 8;[53.5040949, 9.8776069];4039
HH;Francop;Vestas V117-3.3MW;Enercon E-70 E4/2000;Vestas;;;;3300.0;kW Nennleist. Rotor.;32556363.0;5928198.0;;2018.0;;;;;;Plan 8;[53.5040949, 9.8776069];4039
